DateIssued,JournalID,JournalsReaderID,ReaderID,ReturnedDate
1997-03-15 00:00:00.0,2185,11,8,1997-08-05 00:00:00.0
1997-03-15 00:00:00.0,2196,14,8,1997-08-05 00:00:00.0
1997-03-24 00:00:00.0,1513,17,8,1997-08-05 00:00:00.0
1997-03-24 00:00:00.0,2223,18,8,1998-08-05 00:00:00.0
1997-03-28 00:00:00.0,2192,22,15,
1997-03-28 00:00:00.0,2220,23,15,1997-04-15 00:00:00.0
1997-04-02 00:00:00.0,233,25,15,1997-04-15 00:00:00.0
1997-04-17 00:00:00.0,2248,27,15,
1997-05-07 00:00:00.0,2269,29,15,1997-05-21 00:00:00.0
1997-06-11 00:00:00.0,2309,31,15,
1997-06-12 00:00:00.0,123,33,15,
1997-07-04 00:00:00.0,2333,34,7,
1997-07-07 00:00:00.0,124,36,15,
1997-07-10 00:00:00.0,2339,37,15,
1997-07-23 00:00:00.0,2343,41,15,
1997-07-23 00:00:00.0,2344,42,15,1997-08-04 00:00:00.0
1997-03-28 00:00:00.0,2227,50,7,1997-08-13 00:00:00.0
1997-07-23 00:00:00.0,2346,51,15,1997-09-02 00:00:00.0
1997-08-07 00:00:00.0,2379,52,15,1997-09-04 00:00:00.0
1997-08-07 00:00:00.0,2378,53,15,1997-09-08 00:00:00.0
1997-09-08 00:00:00.0,2415,54,15,1997-09-22 00:00:00.0
1997-07-14 00:00:00.0,2316,55,18,1997-10-13 00:00:00.0
1997-07-14 00:00:00.0,2269,56,18,1997-10-13 00:00:00.0
1997-10-09 00:00:00.0,2448,57,25,1997-10-27 00:00:00.0
1997-11-17 00:00:00.0,2498,58,15,1997-11-25 00:00:00.0
1997-12-01 00:00:00.0,2512,59,15,1997-12-03 00:00:00.0
1997-09-24 00:00:00.0,2433,60,15,1997-12-03 00:00:00.0
1997-11-17 00:00:00.0,2491,61,15,1997-12-10 00:00:00.0
1997-12-03 00:00:00.0,2520,62,25,1998-02-11 00:00:00.0
1997-12-03 00:00:00.0,2451,63,25,1998-02-11 00:00:00.0
1998-01-09 00:00:00.0,2576,64,25,1998-02-17 00:00:00.0
1997-10-16 00:00:00.0,1514,65,8,1998-02-24 00:00:00.0
1997-10-16 00:00:00.0,2319,66,8,1998-02-24 00:00:00.0
1997-11-25 00:00:00.0,2498,67,18,1998-12-24 00:00:00.0
1997-08-21 00:00:00.0,1510,68,4,1998-03-11 00:00:00.0
1998-02-15 00:00:00.0,2379,70,18,1998-03-19 00:00:00.0
1998-02-15 00:00:00.0,2498,71,18,1998-03-19 00:00:00.0
1997-11-13 00:00:00.0,1424,72,7,1998-03-31 00:00:00.0
1997-08-07 00:00:00.0,2378,73,7,1998-03-31 00:00:00.0
1997-11-17 00:00:00.0,2491,74,7,1998-03-31 00:00:00.0
1998-03-30 00:00:00.0,2658,75,15,1998-04-01 00:00:00.0
1998-09-08 00:00:00.0,2060,76,15,1998-12-01 00:00:00.0
1998-09-08 00:00:00.0,2448,77,15,1998-12-01 00:00:00.0
1998-09-08 00:00:00.0,2491,78,15,1998-12-01 00:00:00.0
1998-09-22 00:00:00.0,2853,79,15,1998-12-01 00:00:00.0
1998-08-24 00:00:00.0,2817,80,15,1999-01-11 00:00:00.0
1999-01-28 00:00:00.0,3006,81,10,1999-04-28 00:00:00.0
1999-02-19 00:00:00.0,3034,82,15,1999-06-16 00:00:00.0
2000-05-22 00:00:00.0,3475,83,8,2000-06-13 00:00:00.0
2000-05-22 00:00:00.0,3415,84,8,2000-06-13 00:00:00.0
1999-12-03 00:00:00.0,3185,85,8,2000-09-13 00:00:00.0
2000-04-21 00:00:00.0,3347,86,15,2001-01-15 00:00:00.0
2000-09-13 00:00:00.0,3601,87,15,2001-01-15 00:00:00.0
2000-09-13 00:00:00.0,3604,88,15,2001-01-15 00:00:00.0
2000-09-13 00:00:00.0,3603,89,15,2001-01-15 00:00:00.0
2001-05-25 00:00:00.0,3843,90,15,2001-07-10 00:00:00.0
2000-09-13 00:00:00.0,3597,91,15,2001-07-10 00:00:00.0
2000-09-13 00:00:00.0,3600,92,15,2001-07-10 00:00:00.0
1999-03-29 00:00:00.0,3054,93,15,2001-07-10 00:00:00.0
1999-05-27 00:00:00.0,3144,94,15,2001-07-10 00:00:00.0
2001-05-10 00:00:00.0,3816,95,15,2001-07-23 00:00:00.0
2001-08-02 00:00:00.0,3157,96,73,2002-11-19 00:00:00.0
2001-08-02 00:00:00.0,3314,97,73,2002-11-19 00:00:00.0
2001-08-02 00:00:00.0,3365,98,73,2002-11-19 00:00:00.0
2003-09-08 00:00:00.0,3314,99,37,2003-09-08 00:00:00.0
2003-09-08 00:00:00.0,3365,100,37,2003-09-08 00:00:00.0
